,Location,Title,Price,Company,Summary
3,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
8,London,Data Scientist Cyber Security OSINT,"
£34,750 - £38,500 a year","
Vector Recruitment Limited","
 Data Scientist – Cyber Security OSINT.Data Scientist Cyber Security -required experience/knowledge: MSc in Computer Science, Data Analytics, Data Science or…"
9,London,Content Editor & Marketing Intern,"
£9 an hour","
Projecting Success","
 Someone with an interest in data science, data analytics, A.I & ML and data visualisation.We are a small company of 7 people, made up of passionate data…"
10,London,Senior Data Scientist,"
£65,000 - £85,000 a year","
Parallel Consulting","
 The team is working within a Big Data environment which includes a team of Data Engineers and Data Scientists.Please click on the link to apply!"
11,Oxford,Medical Device Documentation and Data Scientist,"
£39,000 - £44,000 a year","
Pharma Scientifix","
 Interpret and summarise pertinent data from multiple sources (literature reviews, clinical data, customer feedback etc)."
13,London,Data Scientist - Deep Learning,"
£70,000 - £90,000 a year","
Oho Group","
 Data Scientist – Deep Learning – Cyber Security.Data Scientist – Machine Learning – Central London.Data Scientist – Machine Learning – Central London."
15,London,Lead Data Scientist,"
£70,000 - £95,000 a year","

Opus Recruitment Solutions","
 Data Scientist/ NoSQL/ R/ python/ Machine Learning/ London/ Consultancy.Data Scientist/ NoSQL/ R/ python/ Machine Learning/ London/ Consultancy."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
3,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
6,London,Data Scientist,"
£25,000 - £30,000 a year","
A1 People","
 Knowledge of data transformation using Python/R/SQL .Practical application of some data science techniques.Theoretical understanding of analytical techniques…"
7,Greater London,Data Scientist,"
£60,000 - £65,000 a year","
Salt Recruitment","
 To apply for the Data Scientist role click “Apply”.2+ years in a Data Science role.Competent using Big Data and ML techniques.This job ad was posted by Salt."
8,London,Research Associate (Statistician),"
£38,304 - £43,822 a year","

King's College London","
 An exciting new position has arisen for a graduate statistician to work alongside leading methodologists to evaluate new medications and interventions to…"
12,Harpenden,Statistical Data Scientist,"
£29,842 - £32,315 a year","

Rothamsted Research","
 A postdoctoral or postgraduate statistical data scientist is required to join the Statistics and Data Science Group within the Computational and Analytical…"
14,London EC2A,Data Scientist,"
£70,000 - £100,000 a year","

Third Republic","
 Helping clients unlock insights from hidden data to help grow your.I am working with a leading UK based company that offers management, technology and…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.E.g. regression, k-means, etc."
3,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
6,London,Data Scientist - Fintech,"
£65,000 - £85,000 a year","
Oho Group","
 We are searching for a highly intelligent Data Scientist or Engineer to join a team of top tier employees working with Tier 1 investment banks and hedgefunds,…"
9,London,Data Scientist,"
£25,000 - £30,000 a year","
A1 People","
 Practical application of some data science techniques.Theoretical understanding of analytical techniques used in data industry."
10,Greater London,Data Scientist,"
£60,000 - £65,000 a year","
Salt Recruitment","
 Experienced working with large complex data sets.Use predictive models with large, complex data sets.Use data visualisation techniques to deliver insights and…"
14,Harpenden,Statistical Data Scientist,"
£29,842 - £32,315 a year","

Rothamsted Research","
 A postdoctoral or postgraduate statistical data scientist is required to join the Statistics and Data Science Group within the Computational and Analytical…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.Machine Learning, Python, R, NoSQL, Scikit-learn, AI.An opportunity for a Data Scientist in Birmingham for £50…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
3,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.E.g. regression, k-means, etc."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
11,London,Data Scientist,"
£365 - £450 a week","
J&C Associates Ltd","
 Big data query experience - HiveQL.We are currently looking for a Data Scientist for a global IT Consultancy to work on a project with a leading name in the…"
13,London,Contract Data Scientist,"
£400 - £500 a day","
Aspire Data Recruitment","
 Support other data scientists in their data analysis and machine learning models.Provide data science expertise and support as required to the wider…"
